Etjuhundur	Sporhundur
Hóbiti	Ákveðið eyrnamark á sauðfé
Riðfaðmur	Útgáfa af mælieiningunni faðmi. Mæld með því að teygja út hendur og halla sér til beggja hliða.
Bullibak	Uppstökkur og hávær maður
Þveljusteinn	Notað yfir ymsar bergtegundir sem auðvelt er að tálga til
Fitleiki	Bilið milli ugga og sporðs á flyðru
Válerast	Að væflast eða snúast í einhverju
Bala	Að tóra eða endast vel. Dæmi: Ótrúlegt hvað þessi kanna hefur balað svona sprungin.
Síuþynna	Hluti af beini í nefholinu
Sóttarfönn	Ákóf skita í sauðfé
Skotra	Niðurgangur, sbr. skita
Hilpir	Fornt orð yfir ljósmóður
Kunkteis	Greifynja, úr ensku: countess
Smeira	Felti úr selskinni
Lókátur	Aðstoðarkennari við háskóla
Hildingur	Konungur
Hvatabúss	Fljótfær maður
Rosmhvalur	Rostungur
Soffa	Þunnt deig
Pistuli	Pistill
Lurða	Lítils háttar slappleiki eða slen
Bruði	Rekaviðardrumbur, óreglulegur í laginu
Iktsýki	Liðagigt
Gýgjarpúss	Nafn nokkurra tegunda af sæsveppum
Sikill	Mynt og þyngdareining hjá gyðingum að fornu (um 17 grömm)
Hnauk	Erfiðisvinna, strit
Brautingi	Flakkari
Púðurvasi	Smávaxinn maður
Skulfa	Úrhellisrigning í hvassviðri
Óðindæla	Ógæfa eða vandræði
Nirtinturta	Sá sem hefur yfirborðskennda þekkingu
Klauflax	Dulnefni um kjöt, notað á föstu meðan ekki mátti leggja sér kjöt til munns
Bónmeri	Tæki til að bóna gólf
Dölfugl	Maður sem er sólginn í að spila á spil
Stefnivargur	Ærslamikill krakkahópur
Olnbogasveppur	Vökvi sem myndast í slímsekk á liðamötum hests
Holtvartarir	Fornt orð yfir snák
Völsteypa	Það að brýna bit úr hníf
Saktmóðigur	Hógvær maður eða kona
Fúkáti	Geðstirður maður
Hrakballa	Að lappa upp á
Freyjufár	Kynsjúkdómur
Masgepill	Maður sem blaðrar mikið
Spadilía	Spaðaásinn í þriggja manna spilinu lomber
Riddarapissa	Það þegar mátað er með riddara á meðan köngurinn er innikróaður í horni skákborðsins
