Etjuhundur	Sporhundur
Knésetningur	Fóstursonur
Baldurskinn	Silkiefni frá Bagdad
Greiparsvunta	Það að klemma nef annars milli löngutangar og vísifingurs
Ers	Taminn hestur
Íðusdagur	Íðusdagur er 15. dagur í mars, maí, júlí og október, en 13. dagur annarra mánaða
Haldreki	Sporðdreki
Skúlkur	Orð yfir bitlausan hníf
Jálmur	Brak og brestir
Skáldast	Verða hárlaus eða hárlaus á blettum
Spáflugan kafnar í rassinum á einhverjum	Sagt þegar einhverjum mistekst verk. Dæmi: „Þar kafnað spáflugan í rassinum á Pálma.“
Súpplikátsía	Auðmjúk beiðni
Vatalegur	Kvensamur
Húflægur	Notað um fjöl, sem hægt er að nota í skipsbók
Tirjulegur	Rytjulegur, vesældarlegur
Brjóstadúkur	Karlmannsflík sem er n.k. vesti eða ermalaus treyja
Hnóhnika	Að vera á sífelldu iði. Dæmi: „Barnið hnóhnik- aði sér allan daginn.“
Ónotahylki	Geðillur maður sem er erfiður í umgengni
Peggaður	Lýsingarorð yfir mjög ölvaðan mann
Ótó	Skepna sem þrífst illa
Stillibekri	Gestabraut
Hordálkur	Grindhoraður maður
Pikkfalur	Strengur til að reisa aftari enda gaffals á segli
Tefill	Sá sem tefur eitthvað
Vígseðill	Vixill
Vottak	Raki
Gullvarta	Stærsta borgarhlið Miklagarðs (nú Istanbúl)
Að sleikja rassinn á honum Loka	Að sleikja enda þráðar til þess að hann komist betur í gegnum nálarauga
Dristugur	Hugrakkur. Dæmi: „Ragnar loðbrók var maður dristugur mjög.“
Rauðvínshattur	Tegund af ætisvepp
Freykjulegur	Laus í sér
Rill	Dökkur eða grár blettur á hvítri kind
Dimbiltá	Stúlka sem er létt á fæti
Blágagl	Fornt skáldlegt heiti á hrafni
Sperðil	Gróft band
Blíma	Dálítil bólga eða bóla
Raddmella	Söngvari í kór sem helst illa í sinni rödd
Skáldagemla	Tönn sem barn fæðist með
Ódres	Sóði
Bifalning	Fyrirskipun
Krátan	Fjandinn, helst notað í eignarfalli í blótsyrðum, sbr. ansans. Dæmi: „Krátans óheppni!“
Smágramur	Ilsaðla sem líktist grameðlu en var mun minni
Kýlabrækur	Karlmannsbuxur frá 17. og 18. öld með sérstökum poka fyrir kynfærin
Drepill	Tæki til að slá bolta með. Samheiti orðsins „knatttré“.
Kilarvikan	Kilarvikan er kappsigling sem haldin er í Kíl í Holtsetalandi síðustu heilu vikuna í júní ár hvert
Skammrifsbrók	Feitt kjötstykki
Átugla	Sama og átvagl, notað um þann sem er gráðugur
Fjölmúlavil	Lítill og ómerkilegur hlutur
Óskyti	Léleg og dhittin skytta
Prinna	Að snúa þrjá þræði saman
Krókasteik	Leg úr kind
Hundrað vikna	Lengdarmálseining á sjó. Dæmi: „Jón sja hundrað vikna út á hafið þennan dag.“
Mjallarkóngur	Tegund nokkuð stórra kuðunga
Aftanriða	Norn sem fer gandreið að kvöldi
Frunsa sig	Að skreyta sig
Vergi	Vernd eða skjól
Trónn	Hásæti, sbr. enska orðið „throne“
Horbóng	Grindhoraður maður
Taferni	Krá, gistihús, sbr. enska orðið „tavern“
Egasléttur	Alveg rennisléttur
Dorri	Hrútur
Hispursmey	Tilgerðarleg stelpa klædd í nýjustu tísku
Balgeira	Að strita við eitthvað
Holubrjóst	Inndregin geirvarta
